epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,493.551,1.69939,2.78678,1.71707,0.24503,0.199,0.12959,0.04513,2.05975,3.90124,2.17064,0.000549423,0.000549423,0.000549423
2,894.919,1.79724,2.44912,1.79082,0.23139,0.27861,0.17964,0.06328,2.34251,3.77749,2.31085,0.00106862,0.00106862,0.00106862
3,1299.15,1.84441,2.34701,1.8364,0.13771,0.23383,0.09048,0.03006,2.17673,4.31169,2.3545,0.00155115,0.00155115,0.00155115
4,1697.4,1.8343,2.18244,1.83303,0.27471,0.28027,0.19424,0.07022,2.16274,3.08801,2.24385,0.00150197,0.00150197,0.00150197
5,2094.3,1.80697,2.10953,1.82026,0.39939,0.38308,0.32448,0.12954,2.01888,2.4456,2.0817,0.00144696,0.00144696,0.00144696
6,2491.95,1.79667,2.03093,1.79371,0.36087,0.38474,0.32265,0.12434,2.10481,2.44185,2.02672,0.00139195,0.00139195,0.00139195
7,2887.59,1.74568,1.94417,1.75089,0.32124,0.34992,0.2576,0.09552,2.04956,2.61025,2.22787,0.00133693,0.00133693,0.00133693
8,3299.21,1.71219,1.93935,1.73466,0.60095,0.39959,0.4778,0.21082,1.87358,1.89678,1.89343,0.00128192,0.00128192,0.00128192
9,3881.87,1.72416,1.84888,1.72518,0.461,0.45108,0.44307,0.19253,1.89115,1.95605,1.93172,0.00122691,0.00122691,0.00122691
10,4410.58,1.66974,1.81428,1.6901,0.40093,0.46269,0.40628,0.17304,1.85964,2.05017,1.93374,0.0011719,0.0011719,0.0011719
11,5077.04,1.6734,1.74261,1.67401,0.51466,0.45108,0.4473,0.21024,1.79773,1.95201,1.88807,0.00111689,0.00111689,0.00111689
12,5904.3,1.6676,1.75173,1.68292,0.53798,0.50249,0.51994,0.23625,1.81004,1.84736,1.8432,0.00106188,0.00106188,0.00106188
13,6609.18,1.62142,1.73195,1.63707,0.58282,0.50249,0.5309,0.2553,1.76342,1.80385,1.8034,0.00100687,0.00100687,0.00100687
14,7508.26,1.62073,1.6864,1.6402,0.57873,0.55556,0.56504,0.27597,1.77529,1.70874,1.81396,0.000951857,0.000951857,0.000951857
15,8415.88,1.60792,1.70708,1.64225,0.60021,0.53566,0.56453,0.2674,1.74887,1.73761,1.81575,0.000896846,0.000896846,0.000896846
16,9056.67,1.59817,1.65841,1.62636,0.5671,0.52357,0.54363,0.24079,1.74742,1.76334,1.78284,0.000841835,0.000841835,0.000841835
17,9647.93,1.56174,1.61254,1.60846,0.57956,0.52073,0.56258,0.26821,1.72304,1.77703,1.77187,0.000786824,0.000786824,0.000786824
18,10218.8,1.55343,1.60453,1.59277,0.56389,0.54726,0.57066,0.27748,1.68068,1.71126,1.73297,0.000731813,0.000731813,0.000731813
19,10791.8,1.53953,1.56472,1.58576,0.57502,0.56053,0.56512,0.27899,1.69403,1.77838,1.78913,0.000676802,0.000676802,0.000676802
20,11367.3,1.55503,1.57038,1.59841,0.58694,0.55556,0.5981,0.30205,1.64829,1.57234,1.73177,0.000621791,0.000621791,0.000621791
21,11946,1.53485,1.5266,1.63241,0.6418,0.48922,0.58253,0.28908,1.70205,1.6813,1.74752,0.00056678,0.00056678,0.00056678
22,12504.1,1.51651,1.45936,1.6058,0.60359,0.60862,0.6388,0.32299,1.67746,1.51525,1.73393,0.000511769,0.000511769,0.000511769
23,13021.4,1.50602,1.42415,1.60671,0.58947,0.6096,0.62358,0.32132,1.65117,1.54945,1.72248,0.000456758,0.000456758,0.000456758
24,13441.5,1.4754,1.38356,1.58933,0.60332,0.56551,0.62771,0.33454,1.62783,1.50637,1.68488,0.000401747,0.000401747,0.000401747
25,13850.7,1.44858,1.33867,1.55525,0.64166,0.59094,0.64466,0.33854,1.67312,1.45154,1.72951,0.000346736,0.000346736,0.000346736
26,14261.2,1.42786,1.30986,1.53718,0.66398,0.56882,0.65244,0.34482,1.63562,1.44476,1.69539,0.000291725,0.000291725,0.000291725
27,14667.8,1.42104,1.29222,1.52827,0.63619,0.61857,0.65035,0.3452,1.60245,1.47463,1.67951,0.000236714,0.000236714,0.000236714
28,15072.8,1.41567,1.29313,1.53629,0.60341,0.63018,0.65947,0.3444,1.61521,1.42804,1.68558,0.000181703,0.000181703,0.000181703
29,15477.6,1.37485,1.22884,1.4995,0.67112,0.57868,0.6697,0.35311,1.61596,1.39745,1.7045,0.000126692,0.000126692,0.000126692
30,15882.7,1.37061,1.1931,1.49259,0.61536,0.65002,0.67601,0.36267,1.61754,1.37422,1.69038,7.1681e-05,7.1681e-05,7.1681e-05
